MA|01000|02799
RI|02800|02999
NH|03000|03899
ME|03900|04999
VT|05000|05999
CT|06000|06999
NJ|07000|08999
NY|10000|14999
PA|15000|19699
DE|19700|19999
DC|20000|20599
MD|20600|21999
VA|22000|24699
WV|24700|26999
NC|27000|28999
SC|29000|29999
GA|30000|31999
FL|32000|34999
AL|35000|36999
TN|37000|38599
MS|38600|39999
KY|40000|42999
OH|43000|45999
IN|46000|47999
MI|48000|49999
IA|50000|52999
WI|53000|54999
MN|55000|56999
SD|57000|57999
ND|58000|58999
MT|59000|59999
IL|60000|62999
MO|63000|65999
KS|66000|67999
NE|68000|69999
LA|70000|71599
AR|71600|72999
OK|73000|74999
TX|75000|79999
CO|80000|81999
WY|82000|83199
ID|83200|83999
UT|84000|84999
AZ|85000|86999
NM|87000|88899
NV|88900|89999
CA|90000|96699
HI|96700|96999
OR|97000|97999
WA|98000|99499
AK|99500|99999
